tp,map
1:11,ㄅㄚ
1:15,ㄅㄛ
1:20,ㄅㄞ
1:23,ㄅㄟ
1:27,ㄅㄠ
1:31,ㄅㄢ
1:34,ㄅㄣ
1:38,ㄅㄤ
1:41,ㄅㄥ
1:44,ㄅㄧ
1:48,ㄅㄧㄝ
1:50,ㄅㄧㄠ
1:54,ㄅㄧㄢ
1:57,ㄅㄧㄣ
2:00,ㄅㄧㄥ
2:05,ㄅㄨ
2:09,ㄆㄚ
2:12,ㄆㄛ
2:16,ㄆㄞ
2:19,ㄆㄟ
2:23,ㄆㄠ
2:26,ㄆㄡ
2:29,ㄆㄢ
2:33,ㄆㄣ
2:36,ㄆㄤ
2:39,ㄆㄥ
2:42,ㄆ一
2:46,ㄆ一ㄝ
2:49,ㄆㄧㄠ
2:53,ㄆ一ㄢ
2:56,ㄆ一ㄣ
2:59,ㄆ一ㄥ
3:02,ㄆㄨ
3:07,ㄇㄚ
3:12,ㄇㄛ
3:17,ㄇㄜ
3:21,ㄇㄞ
3:25,ㄇㄟ
3:29,ㄇㄠ
3:32,ㄇㄡ
3:36,ㄇㄢ
3:39,ㄇㄣ
3:43,ㄇㄤ
3:46,ㄇㄥ
3:50,ㄇ一
3:52,ㄇ一ㄝ
3:56,ㄇㄧㄠ
3:59,ㄇ一ㄡ
4:02,ㄇ一ㄢ
4:06,ㄇ一ㄣ
4:09,ㄇ一ㄥ
4:13,ㄇㄨ
4:18,ㄈㄚ
4:21,ㄈㄛ
4:24,ㄈㄟ
4:27,ㄈㄡ
4:31,ㄈㄢ
4:39,ㄈㄣ
4:42,ㄈㄤ
4:46,ㄈㄥ
4:49,ㄈㄨ
4:53,ㄉㄚ
4:57,ㄉㄜ
5:00,ㄉㄞ
5:04,ㄉㄟ
5:07,ㄉㄠ
5:11,ㄉㄡ
5:14,ㄉㄢ
5:17,ㄉㄤ
5:21,ㄉㄥ
5:24,ㄉ一
5:27,ㄉ一ㄝ
5:31,ㄉㄧㄠ
5:35,ㄉ一ㄡ
5:38,ㄉ一ㄢ
5:41,ㄉ一ㄥ
5:45,ㄉㄨ
5:48,ㄉㄨㄛ
5:51,ㄉㄨㄟ
5:55,ㄉㄨㄢ
5:58,ㄉㄨㄣ
6:01,ㄉㄨㄥ
6:07,ㄊㄚ
6:10,ㄊㄜ
6:14,ㄊㄞ
6:17,ㄊㄠ
6:21,ㄊㄡ
6:25,ㄊㄢ
6:28,ㄊㄤ
6:32,ㄊㄥ
6:35,ㄊ一
6:39,ㄊ一ㄝ
6:42,ㄊㄧㄠ
6:46,ㄊ一ㄢ
6:50,ㄊ一ㄥ
6:53,ㄊㄨ
6:57,ㄊㄨㄛ
7:00,ㄊㄨㄟ
7:04,ㄊㄨㄢ
7:07,ㄊㄨㄣ
7:10,ㄊㄨㄥ
7:14,ㄋㄚ
7:17,ㄋㄜ
7:21,ㄋㄞ
7:24,ㄋㄟ
7:28,ㄋㄠ
7:32,ㄋㄡ
7:35,ㄋㄢ
7:39,ㄋㄣ
7:43,ㄋㄤ 
7:47,ㄋㄥ
7:50,ㄋ一
7:54,ㄋ一ㄝ
7:58,ㄋㄧㄠ
8:02,ㄋ一ㄡ
8:06,ㄋ一ㄢ
8:10,ㄋ一ㄣ
8:14,ㄋ一ㄥ
8:17,ㄋ一ㄤ
8:21,ㄋㄨ
8:25,ㄋㄨㄛ
8:32,ㄋㄨㄢ
8:36,ㄋㄨㄥ
8:40,ㄋㄩ
8:44,ㄋㄩㄝ
8:48,ㄌㄚ
8:53,ㄌㄜ
8:58,ㄌㄞ
9:02,ㄌㄟ
9:06,ㄌㄠ
9:10,ㄌㄡ
9:15,ㄌㄢ
9:19,ㄌㄤ
9:22,ㄌㄥ
9:26,ㄌ一
9:30,ㄌ一ㄚ
9:51,ㄌ一ㄝ
9:55,ㄌ一ㄠ
9:59,ㄌ一ㄡ
10:03,ㄌ一ㄢ
10:06,ㄌ一ㄣ
10:09,ㄌ一ㄤ
10:13,ㄌ一ㄥ
10:17,ㄌㄨ
10:21,ㄌㄨㄛ
10:24,ㄌㄨㄢ
10:28,ㄌㄨㄣ
10:32,ㄌㄨㄥ
10:36,ㄌㄩ
10:39,ㄌㄩㄝ
10:49,ㄍㄚ
10:54,ㄍㄜ
10:59,ㄍㄞ
11:02,ㄍㄟ
11:06,ㄍㄠ
11:10,ㄍㄡ
11:14,ㄍㄢ
11:30,ㄍㄣ 
11:33,ㄍㄤ
11:37,ㄍㄥ
11:41,ㄍㄨ
11:45,ㄍㄨㄚ
11:48,ㄍㄨㄛ
11:52,ㄍㄨㄞ
11:56,ㄍㄨㄟ
11:59,ㄍㄨㄢ
12:03,ㄍㄨㄣ
12:07,ㄍㄨㄤ
12:11,ㄍㄨㄥ
12:15,ㄎㄚ
12:19,ㄎㄜ
12:23,ㄎㄞ
12:27,ㄎㄠ
12:31,ㄎㄡ
12:35,ㄎㄢ
12:39,ㄎㄣ
12:43,ㄎㄤ
12:47,ㄎㄥ
12:50,ㄎㄨ
12:54,ㄎㄨㄚ
